timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1513268572546,20,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-3",text,true,,657,134,7,7,20,0,0
1513268572560,10,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-4",text,true,,657,134,7,7,10,0,0
1513268572560,10,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-5",text,true,,657,134,7,7,10,0,0
1513268572559,11,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-7",text,true,,657,134,7,7,11,0,0
1513268572566,4,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-3",text,true,,657,134,7,7,4,0,0
1513268572566,15,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-1",text,true,,657,134,7,7,15,0,0
1513268572566,15,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-6",text,true,,657,134,7,7,15,0,0
1513268572566,15,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-2",text,true,,657,134,7,7,15,0,0
1513268572570,11,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-3",text,true,,657,134,7,7,11,0,0
1513268572570,16,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-7",text,true,,657,134,8,8,16,0,0
1513268572570,16,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-4",text,true,,657,134,8,8,16,0,0
1513268572570,16,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-5",text,true,,657,134,8,8,16,0,0
1513268572584,3,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-8",text,true,,657,134,8,8,3,0,0
1513268572581,10,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-2",text,true,,657,134,8,8,10,0,0
1513268572581,11,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-1",text,true,,657,134,8,8,11,0,0
1513268572581,10,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-3",text,true,,657,134,8,8,10,0,0
1513268572581,11,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-6",text,true,,657,134,8,8,11,0,0
1513268572587,10,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-5",text,true,,657,134,8,8,10,0,0
1513268572587,10,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-8",text,true,,657,134,8,8,10,0,0
1513268572586,11,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-4",text,true,,657,134,8,8,11,0,0
